name,desc
ปัญญา วงศ์เจริญ,สส.เขต (อุบลราชธานี เขต 1)
ไมตรี ถิ่นขาม,สส.เขต (อุบลราชธานี เขต 2)
ธีรพล จำปาจันทร์,สส.เขต (อุบลราชธานี เขต 3)
วิกรานต์ ทาธิสา,สส.เขต (อุบลราชธานี เขต 4)
อมร ท่าหาญ,สส.เขต (อุบลราชธานี เขต 5)
เพชรรัตน์ บุญคำภา,สส.เขต (อุบลราชธานี เขต 6)
เกษมสันต์ หอมพิกุล,สส.เขต (อุบลราชธานี เขต 7)
ชวนินทร์ ถิ่นขาม,สส.เขต (อุบลราชธานี เขต 8)
สุวิทย์ ขาวแท้,สส.เขต (อุบลราชธานี เขต 9)
โกมล ศรีกิตติกุล,สส.เขต (อุบลราชธานี เขต 10)
ธวัศชา เดชสุภา,สส.เขต (นครราชสีมา เขต 1)
ไตรรัตน์ ปะหูปะปา,สส.เขต (นครราชสีมา เขต 2)
กิตติชัย ผอนนอก,สส.เขต (นครราชสีมา เขต 3)
ไพฑูรย์ คงจันทร์,สส.เขต (นครราชสีมา เขต 4)
สมาน ทินราช,สส.เขต (นครราชสีมา เขต 5)
จอมศิริ แปกลาง,สส.เขต (นครราชสีมา เขต 6)
สุริยันต์ กลิ่นดอน,สส.เขต (นครราชสีมา เขต 7)
วิทวัส ประสมพล,สส.เขต (นครราชสีมา เขต 8)
สุรเนตร ดอกคำ,สส.เขต (นครราชสีมา เขต 9)
ธีรวิชญ์ วงษ์วีรสุวรรณ,สส.เขต (นครราชสีมา เขต 10)
สมาพล พิลาธิวัฒน์,สส.เขต (นครราชสีมา เขต 11)
อภิสิทธิ์ อริยเดช,สส.เขต (นครราชสีมา เขต 12)
สุทธิศักดิ์ แก้วดก,สส.เขต (นครราชสีมา เขต 13)
กุลพิสิฐ สถิตย์ขวาไทย,สส.เขต (นครราชสีมา เขต 14)
ธนชาต เมฆวันวรา,สส.เขต (กรุงเทพมหานคร เขต 1)
ธีระ ธรรมลักขณา,สส.เขต (กรุงเทพมหานคร เขต 2)
สกนธ์ กัปปิยจรรยา,สส.เขต (กรุงเทพมหานคร เขต 3)
นรินทร์ โกศลรุ่งเรือง,สส.เขต (กรุงเทพมหานคร เขต 4)
ศุภศักดิ์ บุญญะสุต,สส.เขต (กรุงเทพมหานคร เขต 5)
เอนก นาคดิลก,สส.เขต (กรุงเทพมหานคร เขต 6)
กัษณ เข็มเพ็ชร,สส.เขต (กรุงเทพมหานคร เขต 7)
สิทธา แจ้งสุข,สส.เขต (กรุงเทพมหานคร เขต 8)
พิชิต จันทร์ประเสริฐ,สส.เขต (กรุงเทพมหานคร เขต 9)
ณฐกร วรอุไร,สส.เขต (กรุงเทพมหานคร เขต 10)
สำราญ พีระเพ็ญกุล,สส.เขต (กรุงเทพมหานคร เขต 11)
ธนาวุฒิ อาจจำเนียร,สส.เขต (กรุงเทพมหานคร เขต 12)
สมธีร์ แก้วกา,สส.เขต (กรุงเทพมหานคร เขต 13)
ฉวีวรรณ อิ่มชื่น,สส.เขต (กรุงเทพมหานคร เขต 14)
ศิริชัย เอมสอาด,สส.เขต (กรุงเทพมหานคร เขต 15)
กอบโชค บุญจันทร์,สส.เขต (กรุงเทพมหานคร เขต 16)
เบญจพรรณ นิวัติศัยวงศ์,สส.เขต (กรุงเทพมหานคร เขต 17)
มัธชัยยะ อุ่นซิม,สส.เขต (กรุงเทพมหานคร เขต 18)
แมน สมจิตต์,สส.เขต (กรุงเทพมหานคร เขต 19)
อธิภพ บัวเผื่อน,สส.เขต (กรุงเทพมหานคร เขต 20)
ชยุต ฐิติทรงภพ,สส.เขต (กรุงเทพมหานคร เขต 21)
บุญทวี คณโฑแก้ว,สส.เขต (กรุงเทพมหานคร เขต 22)
สุปราณี ชนะโรค,สส.เขต (กรุงเทพมหานคร เขต 23)
ฐิติรัตน์ นิจประกิจ,สส.เขต (กรุงเทพมหานคร เขต 24)
ประเสริฐ ทองลือ,สส.เขต (กรุงเทพมหานคร เขต 25)
สิครินทร์ ดามพ์วิจิตร,สส.เขต (กรุงเทพมหานคร เขต 26)
มิตรศิลป์ ธิกะ,สส.เขต (กรุงเทพมหานคร เขต 27)
ณัฐพล ศิริสว่าง,สส.เขต (กรุงเทพมหานคร เขต 28)
วันชัย เวชพานิช,สส.เขต (กรุงเทพมหานคร เขต 29)
อมเรศ ฤทธิรงค์,สส.เขต (กรุงเทพมหานคร เขต 30)
